,ID,players_turn,decision_consistency,coalition_suggestion,C0,C1,C2,C3,C4,C5,C6,S0,S1,S2,S3,S4,S5,S6,R0,R1,R2,R3,R4,R5,R6,round_num,CP,in_cp,Reward
4,201,2,2,2,0,0,1,1,2,3,4,0,0,0,0,0,0,0,0,0,1,1,2,3,4,2,-1,-1,1.5
2,202,1,1,0,0,1,2,3,4,5,6,1,1,0,1,1,0,0,0,1,2,3,4,5,6,1,-1,-1,1
3,202,0,1,1,0,1,2,3,4,5,6,1,1,0,0,0,0,0,0,0,1,2,3,4,5,1,-1,-1,1.5
4,202,0,1,0,0,0,1,2,3,4,5,1,0,0,0,0,1,0,0,0,1,1,2,3,4,1,-1,-1,1.5
5,202,2,2,2,0,0,1,1,2,3,4,0,0,0,0,0,0,0,0,0,1,1,2,3,4,2,-1,-1,1.5
2,203,1,1,0,0,1,2,3,4,5,6,1,1,0,0,1,0,1,0,1,2,3,4,5,6,1,-1,-1,1
3,203,1,1,0,0,1,2,3,4,5,6,1,1,0,0,0,1,1,0,1,2,3,4,5,4,2,-1,-1,1
4,203,1,1,1,0,1,2,3,4,5,4,1,0,0,0,1,0,0,0,1,2,2,3,4,3,3,-1,-1,1
5,203,1,1,1,0,1,2,2,3,4,3,1,0,0,0,0,0,1,0,1,1,1,2,3,2,4,-1,-1,1
6,203,0,1,1,0,1,1,1,2,3,2,1,0,0,0,0,1,0,0,1,1,1,2,0,2,4,-1,-1,1
7,203,1,1,1,0,1,1,1,2,0,2,1,1,0,0,0,0,0,0,1,1,1,2,0,2,5,-1,-1,1
8,203,1,1,1,0,1,1,1,2,0,2,1,0,0,1,0,0,0,0,1,1,1,2,0,2,6,-1,-1,1
9,203,1,1,1,0,1,1,1,2,0,2,1,0,0,0,0,0,1,0,1,1,1,2,0,2,7,-1,-1,1
10,203,1,1,1,0,1,1,1,2,0,2,1,0,0,1,0,0,0,0,1,1,1,2,0,2,8,-1,-1,1
11,203,2,2,2,0,1,1,1,2,0,2,0,0,0,0,0,0,0,0,1,1,1,2,0,2,8,-1,-1,1
2,204,1,1,0,0,1,2,3,4,5,6,1,1,1,1,0,1,1,0,1,2,3,4,5,4,1,-1,-1,1
3,204,1,1,0,0,1,2,3,4,5,4,1,1,1,1,0,1,1,0,1,2,3,4,5,4,2,-1,-1,1
4,204,0,1,0,0,1,2,3,4,5,4,1,0,0,0,0,1,0,0,1,2,3,4,5,4,2,-1,-1,1
5,204,0,0,0,0,1,2,3,4,5,4,1,0,0,1,0,0,0,0,1,2,3,4,5,4,2,-1,-1,1
6,204,1,1,1,0,1,2,3,4,5,4,1,1,0,0,0,0,0,0,0,1,2,3,4,3,3,-1,-1,1.5
7,204,1,0,0,0,0,1,2,3,4,3,1,1,1,0,0,1,0,0,0,1,2,3,4,3,4,-1,-1,1.5
8,204,1,1,1,0,0,1,2,3,4,3,1,1,0,0,1,0,1,0,0,1,2,3,1,3,5,-1,-1,1.5
9,204,1,0,1,0,0,1,2,3,1,3,1,1,1,0,0,1,0,0,0,1,2,3,1,3,6,-1,-1,1.5
10,204,1,1,1,0,0,1,2,3,1,3,1,1,0,0,1,0,1,0,0,1,2,3,1,3,7,-1,-1,1.5
11,204,1,1,0,0,0,1,2,3,1,3,1,1,0,1,1,0,0,0,0,1,2,3,1,3,8,-1,-1,1.5
12,204,1,1,0,0,0,1,2,3,1,3,1,1,1,0,0,1,1,0,0,1,2,3,1,3,9,-1,-1,1.5
13,204,1,1,1,0,0,1,2,3,1,3,1,0,0,0,0,0,1,0,0,1,2,3,1,3,10,-1,-1,1.5
14,204,1,1,1,0,0,1,2,3,1,3,1,0,0,0,0,0,1,0,0,1,2,3,1,3,11,-1,-1,1.5
15,204,1,1,1,0,0,1,2,3,1,3,1,0,0,0,0,0,1,0,0,1,2,3,1,3,12,-1,-1,1.5
16,204,0,0,1,0,0,1,2,3,1,3,1,0,0,1,0,0,0,0,1,2,0,3,2,3,12,-1,-1,1.5
17,204,2,2,2,0,1,1,0,2,1,2,0,0,0,0,0,0,0,0,1,1,0,2,1,2,12,-1,-1,1.5
2,205,1,1,0,0,1,2,3,4,5,6,1,1,1,1,1,1,1,0,1,2,3,4,5,6,1,-1,-1,1
3,205,1,1,0,0,1,2,3,4,5,6,1,0,1,1,0,1,0,0,1,0,0,2,0,3,2,-1,0,1.75
4,205,1,1,1,0,1,0,0,2,0,3,1,0,0,0,0,0,1,0,1,0,0,2,0,3,3,-1,0,1.75
5,205,1,1,1,0,1,0,0,2,0,3,1,0,0,0,0,0,1,0,1,0,0,2,0,3,4,-1,0,1.75
6,205,1,0,1,0,1,0,0,2,0,3,1,0,0,1,0,0,0,0,1,0,0,2,0,2,5,0,0,1.75
7,205,1,0,0,0,1,0,0,2,0,2,1,1,0,0,0,0,1,0,1,0,0,2,0,2,6,0,0,1.75
8,205,2,2,2,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,2,6,0,0,1.75
2,206,1,1,0,0,1,2,3,4,5,6,1,0,0,1,1,0,0,0,1,2,3,4,2,4,1,-1,-1,1
3,206,1,1,0,0,1,2,3,4,2,4,1,0,0,0,1,1,1,0,1,2,3,4,2,4,2,-1,-1,1
4,206,0,1,1,0,1,2,3,4,2,4,1,1,0,0,0,0,0,0,0,1,2,3,1,3,2,-1,-1,1.5
5,206,1,0,1,0,0,1,2,3,1,3,1,0,0,0,1,0,0,0,0,1,2,3,1,3,3,-1,-1,1.5
6,206,1,0,1,0,0,1,2,3,1,3,1,0,0,0,0,1,0,0,0,1,2,3,1,3,4,-1,-1,1.5
7,206,1,0,1,0,0,1,2,3,1,3,1,0,0,0,0,0,0,0,1,2,3,4,2,4,5,-1,-1,1
8,206,1,1,1,0,1,2,3,4,2,4,1,0,0,0,0,0,1,0,1,2,3,4,2,4,6,-1,-1,1
9,206,0,0,0,0,1,2,3,4,2,4,1,0,0,1,0,0,0,0,1,2,3,4,2,4,6,-1,-1,1
10,206,1,1,1,0,1,2,3,4,2,4,1,0,0,0,0,0,1,0,1,2,3,4,2,4,7,-1,-1,1
11,206,1,1,1,0,1,2,3,4,2,4,1,1,0,0,0,0,0,0,0,1,2,3,1,3,8,-1,-1,1.5
